City	State	Date Travelled	Link	Reason	Description	Latitude	Longitude
Spokane	Washington			Work	Providence Immersion	47.66999595	-117.4199494
Kelso	Washington			Work	PeaceHealth Go-Live	46.1468	-122.9084
Rochester	Minnesota			Work	Mayo Clinic	44.02205324	-92.46968937
La Crosse	Wisconsin			Work	Stopped at Sushi Pirate on the way to Mayo	43.80136904	-91.23942855
Viroqua	Wisconsin			Fun	Bike the Barns	43.5569	-90.8887
Milwaukee	Wisconsin			Fun	Touring Milwaukee with Friends	43.05265505	-87.91996708
Lansing	Michigan			Fun	Rugby Game @ MSU	42.73352724	-84.54673629
Boston	Massachusetts			Work	Supporting Partners' Go-Live	42.32996014	-71.07001367
Detroit	Michigan			Fun	Visiting Nana and Bumpa	42.32996014	-83.08005579
Kalamazoo	Michigan			Work	Bronson Immersion Upgrade	42.29215883	-85.58718958
Rockford	Illinois			Work	Immersion at Rockford Health System	42.26970542	-89.06969019
Chicago	Illinois			Fun	Visiting Corey	41.82999066	-87.75005497
Toledo	Ohio			Fun	Rugby Game @ Toledo	41.67003	-83.58
Aurora	Ohio			Fun	Collin's wedding, Thorncreek Winery, super beautiful	41.3404	-81.3504
New York City	New York			Fun	With Family on Vacation	40.74997906	-73.98001693
Lima	Ohio			Fun	Filming for Justin and Missy's Wedding	40.74287355	-84.10526453
Philadelphia	Pennsylvania			Fun	Visiting Audrey's Family	39.99997316	-75.16999597
Columbus	Ohio			Fun	Mirror Lake Jump	39.9612	-82.9988
Athens	Ohio			Fun	Rugby Game @ OU	39.3292	-82.1013
Kansas City	Kansas			Fun	Tour de Greg	39.11358052	-94.63014638
Washington	D.C.			Fun	Rugby Cherry Festival Tournament	38.89954938	-77.00941858
Louisville	Kentucky			Fun	Driving back from Spring Break	38.22501691	-85.74870427
Hutchinson	Kansas			Fun	Visiting Dad's Hometown	38.06549176	-97.92349085
Lexington	Kentucky			Fun	Visiting Jordan	38.05001467	-84.50002079
Red River Gorge	Kentucky			Fun	Spring Break Senior Year	37.8338	-83.6084
San Francisco	California			Work	Immersion at UCSF	37.74000775	-122.4599777
Wichita	Kansas			Fun	Tour de Greg	37.71998313	-97.32998702
San Mateo	California			Fun	Visited Bo!	37.55691815	-122.3130616
Norris Lake	Tennessee			Fun	Vacations	36.295	-83.9082
Nasheville	Tennessee			Fun	Cousins Live Here	36.16997438	-86.77998499
Winston-Salem	North Carolina			Fun	Wake Forest College Visit	36.10543052	-80.25999536
Fayetteville	Arkansas			Fun	Visiting Dad	36.06297833	-94.15720911
Durham	North Carolina			Fun	Duke visit	35.99995892	-78.91999964
Knoxville	Tennessee			Fun	Visiting Sue & Joe	35.97001243	-83.92003036
Asheville	North Carolina			Fun	Troy's Wedding	35.60119773	-82.55414474
