Park	Park Suffix	States	Park Website	Photos	Latitude	Longitude	Number of Visitors	Visited?	Date Visited	Rank	Notes
Acadia	National Park	Maine	https://www.nps.gov/acad/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x4caea3b20ea22925:0x62df220efc555584!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://www.national-park.com/welcome-to-acadia-national-park/!5sAcadia+National+Park+-+Google+Search&imagekey=!1e1!2shttps://www.national-park.com/wp-content/uploads/2016/04/Welcome-to-Acadia-National-Park.jpeg&sa=X&ved=0ahUKEwjm-oro0PzUAhUJ7IMKHWojDG0QoioIqQIwDQ	44.3385	-68.2733	3303393	Yes	10/16/2017		Maine, on the water
Glacier	National Park	Montana	https://www.nps.gov/glac/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x5368901555555555:0xaf16bc2215c55dec!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://www.nps.gov/glac/index.htm!5sGlacier+National+Park+-+Google+Search&imagekey=!1e1!2shttps://www.nps.gov/common/uploads/grid_builder/imr/crop16_9/DA3C1F02-1DD8-B71B-0BEA9E07D90D38B8.jpg?width%3D950%26quality%3D90%26mode%3Dcrop&sa=X&ved=0ahUKEwi84ObL1fzUAhUK2IMKHRrNCDoQoioItwIwFA	48.7596	-113.787	2946681				
Zion	National Park	Utah	https://www.nps.gov/zion/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x80caead08844f8d9:0x7c2e3a15aa3656f5!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://www.nps.gov/zion/planyourvisit/thenarrows.htm!5sZion+National+Park+-+Google+Search&imagekey=!1e1!2shttps://www.nps.gov/common/uploads/imr/park/zion/334A1651-155D-451F-67D5B8F457D77068/334A1651-155D-451F-67D5B8F457D77068-large.jpg&sa=X&ved=0ahUKEwiQ9Onq0PzUAhUpxoMKHcr1C2EQoioIpgIwDw	37.2982	-113.0263	4295128				
Grand Teton	National Park	Wyoming	https://www.nps.gov/grte/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x5352519ec95d1ba9:0xa5a0b88ecc91a337!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttp://www.cafepress.com/%2Bgrand-teton-national-park%2Bgifts!5sGrand+Teton+National+Park+-+Google+Search&imagekey=!1e1!2shttp://i3.cpcache.com/product/1351548537/grand_teton_national_park_ornament_round.jpg?width%3D225%26height%3D225%26Filters%3D%255B%257B%2522name%2522%253A%2522background%2522%252C%2522value%2522%253A%2522F2F2F2%2522%252C%2522sequence%2522%253A2%257D%255D&sa=X&ved=0ahUKEwiOpq7I8_zUAhVk8IMKHaO1DHUQoioIpAIwDQ	43.8098	-110.6864	3270076				
Rocky Mountain	National Park	Colorado	https://www.nps.gov/romo/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x876979e4455903e9:0xfa27ee43a78e8217!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttp://rockymountainnationalpark.com/!5sRocky+Mountain+National+Park+-+Google+Search&imagekey=!1e1!2shttp://rockymountainnationalpark.com/sites/all/themes/rmnp/images/fall-foliage-rocky-mountain-national-park.jpg&sa=X&ved=0ahUKEwis0drr0fzUAhVC2oMKHUXXDO0QoioIpAIwDQ	40.3428	-105.6836	4517585	Yes			With Tyler, we hiked around there
Denali	National Park And Preserve	Alaska	https://www.nps.gov/dena/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x56cdf3ff88d01605:0xc6b53b15131936a5!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve!5sDenali+National+Park+-+Google+Search&imagekey=!1e1!2shttps://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Mount_McKinley_Alaska.jpg/1200px-Mount_McKinley_Alaska.jpg&sa=X&ved=0ahUKEwj95Zy09PzUAhUR24MKHZolB0oQoioIowIwEQ	63.1148	-151.1926	587412				
Yosemite	National Park	California	https://www.nps.gov/yose/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x8096f09df58aecc5:0x2d249c2ced8003fe!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://picasaweb.google.com/lh/sredir?uname%3D112376230279820040809%26id%3D6140676863413681186%26target%3DPHOTO!5syosemite+national+park+-+Google+Search&imagekey=!1e3!2s-ZTwWZcecbzo/VTgREpQ7fCI/AAAAAAAAABU/2WfHFr5jzjUJgDDN0sp1igor5iY7b9CJACLIB&sa=X&ved=0ahUKEwizza7Aiv3UAhUM84MKHarHCYcQoioIlgEwEg	37.8651	-119.5383	5028868	Yes			Really cool. Nice vistas
Great Smoky Mountains	National Park	Tennessee	https://www.nps.gov/grsm/index.htm		35.6358	-83.5821	11312786	Yes			Clingman's Dome
Voyageurs	National Park	Minnesota	https://www.nps.gov/voya/index.htm	https://www.google.com/search?q=Voyageurs+National+Park&rlz=1C5CHFA_enUS719US719&stick=H4sIAAAAAAAAAH2SvU7DMBSFiQSiTRlQulUIVUxsaZwmdRYGWKkYYEEMUfPbNrGbOFYTZ-MVeA5ehD4AIwMbb8BIWuU6G9unk-OT4-vbO7nq60SfmLgqYzT0woKP6YKvNnSRjrMFS4qd0tsbfFfgFjGeTUGljLUYC6NRD2FGXFMKbCO7ArdvWyC7InJ2yume05iDalEmD1LPzoAdJ4VwxGLPAD3nbg1cbYnMydx6KysWMgbHIgb2poUDXObYbNnEAhmSyzICT0GYDTwTYtp5EqnnMyuC35KklPFbEneNtxhuUjkZkTeMAga6z9dBG2PWCEaGnCTJugY8B46Ijbo2FEtunlSOmzuNRz3kYCO3rDZ_yTC0R7aHUmiPJ_KlorVDukg067iQw8n8AHQjyCdLYEEonEX1msvB5kvD_1ZelcH5z-_XcFS9vX98Kkw9vm32T1urg8eQP23mm2AVCe1Fe1b785B4ISseIu1eVe82aRr6-yXVbtTL0Uj3paDD8rqH5b0-Gl2o_3w_-wN0PC-NAAMAAA&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjYptC0if3UAhVm04MKHRQUAdEQ_AUIBygC&biw=1479&bih=926	48.4889	-93.4861	241912				Eh kinda boring
Sequoia	National Park	California	https://www.nps.gov/seki/index.htm		36.4864	-118.5658	1000583				
